raw_file_gsm	matched_gsm	correlation_current_orientation	correlation_sign_flipped	orientation_consistent	correlation_gap
GSM190997	GSM190997	0.991211604522013	-0.991211604522013	TRUE	1.98242320904403
GSM190998	GSM190998	0.992888027061589	-0.992888027061589	TRUE	1.98577605412318
GSM190999	GSM190999	0.991973349834697	-0.991973349834697	TRUE	1.98394669966939
GSM191000	GSM191003	0.983689429873036	-0.983689429873036	TRUE	1.96737885974607
GSM191001	GSM191004	0.989490061447054	-0.989490061447054	TRUE	1.97898012289411
GSM191002	GSM191006	0.993453700059889	-0.993453700059889	TRUE	1.98690740011978
GSM191003	GSM191005	0.985640400925254	-0.985640400925254	TRUE	1.97128080185051
GSM191004	GSM191001	0.992899400189861	-0.992899400189861	TRUE	1.98579880037972
GSM191005	GSM191007	0.987967851879811	-0.987967851879811	TRUE	1.97593570375962
GSM191006	GSM191002	0.987975806858843	-0.987975806858843	TRUE	1.97595161371769
GSM191007	GSM191008	0.990289840981814	-0.990289840981814	TRUE	1.98057968196363
GSM191008	GSM191000	0.983855827028424	-0.983855827028424	TRUE	1.96771165405685
