model	source	geneset	NGenes	Direction	PValue	FDR
base	hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION	149	Down	1.75305077042988e-07	8.76525385214938e-06
base	hallmark	HALLMARK_MYC_TARGETS_V1	131	Down	1.13505260273408e-05	0.000283763150683519
base	hallmark	HALLMARK_MYOGENESIS	127	Down	0.0149580958916794	0.149580958916794
base	reactome	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	46	Down	1.04556336681956e-13	6.28014738762895e-11
base	reactome	REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	86	Down	1.24523559489514e-13	6.28014738762895e-11
base	reactome	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	46	Down	1.29844535926167e-13	6.28014738762895e-11
base	kegg_legacy	KEGG_RIBOSOME	35	Down	1.19452318571924e-14	2.11430603872306e-12
base	kegg_legacy	KEGG_OXIDATIVE_PHOSPHORYLATION	72	Down	1.61532993280746e-09	9.53044660356404e-08
base	go_bp	GOBP_CYTOPLASMIC_TRANSLATION	77	Down	5.32318941478047e-10	2.76646153886141e-06
base	go_bp	GOBP_OXIDATIVE_PHOSPHORYLATION	78	Down	3.29938690985382e-07	0.000285781896175172
scan_adjusted	hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION	149	Down	1.81178475012326e-07	9.0589237506163e-06
scan_adjusted	hallmark	HALLMARK_MYC_TARGETS_V1	131	Down	1.44043124974892e-05	0.00036010781243723
scan_adjusted	hallmark	HALLMARK_MYOGENESIS	127	Down	0.0163603172222658	0.163603172222658
scan_adjusted	reactome	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	46	Down	2.27021460008246e-13	1.52209335242004e-10
scan_adjusted	reactome	REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	86	Down	2.42250602937053e-13	1.52209335242004e-10
scan_adjusted	reactome	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	46	Down	3.14698832340463e-13	1.52209335242004e-10
scan_adjusted	kegg_legacy	KEGG_RIBOSOME	35	Down	3.52295795364836e-14	6.2356355779576e-12
scan_adjusted	kegg_legacy	KEGG_OXIDATIVE_PHOSPHORYLATION	72	Down	2.16528482725068e-09	1.2775180480779e-07
scan_adjusted	go_bp	GOBP_CYTOPLASMIC_TRANSLATION	77	Down	9.37391965026616e-10	4.87162604224332e-06
scan_adjusted	go_bp	GOBP_OXIDATIVE_PHOSPHORYLATION	78	Down	4.14023548677964e-07	0.000358613397079896
scanner_adjusted	hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION	149	Down	2.34473102441816e-08	1.17236551220908e-06
scanner_adjusted	hallmark	HALLMARK_MYC_TARGETS_V1	131	Down	9.52190624412548e-06	0.000238047656103137
scanner_adjusted	hallmark	HALLMARK_MYOGENESIS	127	Down	0.0135121998376813	0.129074277159826
scanner_adjusted	reactome	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	46	Down	7.86323509185056e-14	4.27669694152565e-11
scanner_adjusted	reactome	REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	86	Down	6.20908020316341e-14	4.27669694152565e-11
scanner_adjusted	reactome	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	46	Down	1.7081455916786e-13	6.19629813381412e-11
scanner_adjusted	kegg_legacy	KEGG_RIBOSOME	35	Down	7.29430282293767e-15	1.29109159965997e-12
scanner_adjusted	kegg_legacy	KEGG_OXIDATIVE_PHOSPHORYLATION	72	Down	1.4070914966468e-10	8.30183983021611e-09
scanner_adjusted	go_bp	GOBP_CYTOPLASMIC_TRANSLATION	77	Down	4.04089323588689e-10	2.10005221469042e-06
scanner_adjusted	go_bp	GOBP_OXIDATIVE_PHOSPHORYLATION	78	Down	2.44906903314281e-08	2.65483984163552e-05
both_adjusted	hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION	149	Down	3.60367613470208e-08	1.80183806735104e-06
both_adjusted	hallmark	HALLMARK_MYC_TARGETS_V1	131	Down	1.47267820840382e-05	0.000368169552100956
both_adjusted	hallmark	HALLMARK_MYOGENESIS	127	Down	0.0145894877674457	0.14641398114305
both_adjusted	reactome	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	46	Down	2.31942559053655e-13	1.42564072838309e-10
both_adjusted	reactome	REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	86	Down	1.67180035941529e-13	1.42564072838309e-10
both_adjusted	reactome	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	46	Down	4.95853211038865e-13	1.79870752304348e-10
both_adjusted	kegg_legacy	KEGG_RIBOSOME	35	Down	2.68800326483976e-14	4.75776577876638e-12
both_adjusted	kegg_legacy	KEGG_OXIDATIVE_PHOSPHORYLATION	72	Down	2.44608075921959e-10	1.44318764793956e-08
both_adjusted	go_bp	GOBP_CYTOPLASMIC_TRANSLATION	77	Down	9.02104570436103e-10	4.68823745255642e-06
both_adjusted	go_bp	GOBP_OXIDATIVE_PHOSPHORYLATION	78	Down	4.6533388195708e-08	4.83668036906189e-05
