raw_file_gsm	matched_gsm	soft_subject_label	matched_subject_label	cor_with_matched_geo_processed	file_label_matches_processed_profile	slide_id	scan_date	scanner
GSM190997	GSM190997	S11	S11	0.991211604522013	TRUE	HN11C11	2003/10/29	5000 650186
GSM190998	GSM190998	S4	S4	0.992888027061589	TRUE	HN11C12	2003/10/28	4000 680069
GSM190999	GSM190999	S9	S9	0.991973349834697	TRUE	HN11C13	2003/10/29	5000 650186
GSM191000	GSM191003	S10	S14	0.983689429873036	FALSE	HN11C14	2003/10/28	4000 680069
GSM191001	GSM191004	S13	S12	0.989490061447054	FALSE	HN11C15	2003/10/28	4000 680069
GSM191002	GSM191006	S15	S2	0.993453700059889	FALSE	HN11C19	2003/10/29	4000 680069
GSM191003	GSM191005	S14	S16	0.985640400925254	FALSE	HN11C17	2003/10/29	4000 680069
GSM191004	GSM191001	S12	S13	0.992899400189861	FALSE	HN11C22	2003/10/28	5000 650186
GSM191005	GSM191007	S16	S3	0.987967851879811	FALSE	HN11C23	2003/10/28	5000 650186
GSM191006	GSM191002	S2	S15	0.987975806858843	FALSE	HN11C24	2003/10/28	4000 680069
GSM191007	GSM191008	S3	S6	0.990289840981814	FALSE	HN11C25	2003/10/29	4000 680069
GSM191008	GSM191000	S6	S10	0.983855827028424	FALSE	HN11C21	2003/10/29	5000 650186
